title,Logo,Tag,Description,Price,temp_link
GenPlus,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/GenPlus.png,Chat,"GEN plus, a ChatGPT browser extension, helps you automate your online activity, creating high-quality content, sending emails, and searching the web for a wide variety of information.",Freemium,https://genplus.lemonsqueezy.com/
Synthesia,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Synthesia.png,Text-to-Video,"AI video creation platform that lets you turn documents, PowerPoints, and PDFs into engaging videos. Create your own avatars or choose from 100 realistic avatars, 130 languages, and 55 video templates.",Paid,https://www.synthesia.io/
Tailwind Ghostwriter,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Tailwind%20Ghostwriter.png,Social Media,"Tailwind App reclaims the scheduling tool throne with its new Ghostwriter feature, offering versatile AI-powered copywriting for SEO, ads, and social media content, saving you time and boosting your marketing game.",Paid,https://www.tailwindapp.com/ghostwriter
AIApply,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/AIApply.png,Recruitment,"Simplify your job hunt with AI Apply, an AI-powered tool that automates and optimizes your job application process.",Freemium,https://aiapply.co/
Followr,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Followr.png,Social Media,"Followr streamlines social media management with AI-powered scheduling, content creation, and analytics for optimized engagement across multiple social media platforms.",Freemium,https://followr.ai/
Altered,-,Audio,"Record, craft, tweak, and control any voice audio professionally. Transform your voice or alter your accent with the finesse of a pro audio studio.",Paid,https://www.altered.ai/
Formula Bot,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Formula%20Bot.png,Productivity,"Upload, analyze and query your data with AI. Solve your Excel and Google Sheets problems in seconds with AI-generated formula generators. Type questions about your data to unlock insights and generate charts.",Paid,https://formulabot.com/
CustomGPT,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/CustomGPT.png,Chat,"Build ChatGPT plugins without code. Expand your customer reach by integrating your company’s database on ChatGPT for instant, accurate response to customer queries or creating a search retrieval plugin—thus increasing your operational efficiency exponentially.",Freemium,https://customgpt.ai
Lovo,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Lovo.png,Text-to-Voice,"AI voiceover and text to speech platform gives you the ability to create realistic, human-like voices for your project with pronunciation editing, voice speed controls, and voice emotion manipulation.",Freemium,https://lovo.ai
HookSounds AI Studio,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/HookSounds%20AI%20Studio.png,Music,"Make custom, mood-aligned soundtracks for your videos with AI Studio. Instantly analyze your video's unique characteristics and produce smart-synced music, eliminating manual editing. Keep refining until you hit the perfect note.",Paid,https://www.hooksounds.com/studio/
https://www.feathery.io/?ref=otywmda,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Feathery.png,Productivity,"Create elegant online forms with unparalleled speed, all while offering deep customization and seamless integration. From intuitive design tools to advanced form logic, Feathery AI is changing the form-building market.",Freemium,https://www.feathery.io/
Designs ai,-,Image Editing,"A ceative wonderland of AI-driven tools for every artistic whim, streamlining projects and fueling inspiration for influencers, startups, educators, and beyond.",Paid,https://shareasale.com/r.cfm
Podium,-,Podcasting,Podium is an AI-powered copywriter for podcasts. Its unique combination of public AI tools with proprietary tech saves podcasters money and allows them to reach a wider audience—all the while automating their podcast production process.,Paid,https://hello.podium.page/
Adalo,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Adalo.png,Nocode,"Adalo makes no-code mobile app creation easy by integrating OpenAI's ChatGPT for an enriched user experience. Define your concept with Adalo's ""Magic tools"", click generate and presto - your professional-looking database is ready",Freemium,https://www.adalo.com/
Luna,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Luna.png,Copywriting,"Send personalized emails that get replies with Luna, AI-powered email marketing software that suggests high-quality leads and automates the sending of personalized emails.",Paid,https://getluna.dev
Longshot,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Longshot.png,Copywriting,"Create captivating articles, auto-blogs inspired by top SERPs and fueled by chatter backed by verified facts. Use a built in fact checker to arm yourself or revamp stale content with Claim Detection.",Paid,https://www.longshot.ai/
MagicReply,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/MagicReply.png,Chat,"MagicReply blends artificial intelligence and human expertise to provide speedy and precise customer service in multiple languages. Leveraging past interactions, it enables agents to deliver exceptional support while seamlessly handling their workloads",Freemium,https://crisp.chat/en/
Lalal AI,-,Audio,"Cutting-edge vocal removal and music source separation tool for musicians, video editors, marketers, and other people in the creative field. Quick and accurate extraction of vocals, backing, and different instruments from any audio or video.",Freemium,https://www.lalal.ai/
Typeshare,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Typeshare.png,Copywriting,"Crack the creativity conundrum with Typeshare's Endless Idea Generator. By simply entering a topic, harness the power of AI to instantly turn thoughts into a multitude of ideas, streamlining the writing process.",Freemium,https://typeshare.co/
WindsorAI,-,Marketing,"Windsor AI is the tool that connects all your marketing channels together. The marketing attribution technology delivers clear, comprehensive insights into ad spend value and ROI, and gives you full transparency on ad spend effectiveness.",Freemium,https://www.windsor.ai
Creasquare,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Creasquare.png,Social Media,"Creasquare gives entrepreneurs, marketers, and content creators access to the best software for creating and distributing content on social media.",Freemium,https://creasquare.io/
GPT zero,-,AI Detection,"Accurate, easy to integrate, and attuned to sniffing out AI-written content, be it in sentences, paragraphs, or whole documents. Trained on a vast corpus of human and AI-generated text, it works effectively across major AI models, acting as your personal truffle pig in the vast forests of online content.",Freemium,https://gptzero.me/
Bitskout,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Bitskout.png,Productivity,"Bitskout offers automated solutions for managing and processing data. The service works with most file types, is flexible in that it can be integrated into existing workflows—and does not require coding to understand content in multiple languages.",Paid,https://www.bitskout.com/
Typefully,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Typefully.png,Social Media,"Typefully's Vesper is revolutionizing Twitter content creation with its AI-powered assistance, offering personalized ideas, writing support, and feedback to elevate your tweets and audience engagement.",Freemium,https://typefully.com/
Spell,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Spell.png,Productivity,"Use Spell's autonomous AI agents for enhanced productivity - no OpenAI or ChatGPT API key required. Perform multiple tasks simultaneously, create dynamic content, explore diverse templates, and transform processes.",Paid,https://spell.lemonsqueezy.com/
xMagic,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/xMagic.png,Chat,"xMagic learns from your PDFs, Notion, and TXT files so you can start interactive chats with your documents. Generate document summaries, get answers questions, get direct references to sources, and supports collaborative workspaces for shared projects.",Freemium,https://www.xmagic.ai/
Coda AI,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Coda%20AI.png,Productivity,"With powerful integrations, customizable workflows, and AI-powered features like drafting content and generating tables, Coda AI takes your work to the next level.",Freemium,https://coda.io/product/ai
Zigpoll,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Zigpoll.png,Marketing,"Speedy, multilingual, AI-enhanced survey app that's changing how you gain insights, optimize your business, and stay ahead of customer trends.",Freemium,https://app.zigpoll.com/sign-up
Eclipse AI,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Eclipse%20AI.png,Productivity,"Eclipse AI simplifies customer understanding and retention by consolidating various data sources, revealing actionable insights, and facilitating custom or integrated surveys, helping businesses effectively address customer issues and improve retention.",Paid,https://eclipse-ai.com/
Airgram,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Airgram.png,Productivity,"Airgram helps you manage, record, and summarize your online meetings from Google Meet, Zoom or Microsoft Teams—so that you can concentrate on discussions rather than note-taking.",Freemium,https://app.airgram.io/signup
GetResponse,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/GetResponse.png,Marketing,AI Email Generator: Create engaging emails in record time with an AI-powered email generator. Boost your email marketing with industry-optimized subject lines and content.,Freemium,https://www.getresponse.com/features/email-marketing/ai-email-generator
Quillbot,-,Copywriting,"Quillbot's natural language processing and machine learning tools suggest rephrasing and other improvements to text. Use it to brainstorm ideas, generate summaries, and even create unique articles and essays.",Freemium,https://quillbot.com/
Catbird,-,Generative Art,"Catbird is a free, versatile image generator that crafts dozens of unique images frommultiple models using just one prompt, allowing for endless creativity without any signup hassle.",Free,https://www.catbird.ai/
Canva Text-to-image,-,Generative Art,Generate one-of-a-kind pictures and artwork from a brief description in no time. Turn your wildest ideas into artwork and shareworthy visuals with Canva's new AI tool.,Freemium,https://www.canva.com/apps/text-to-image
Canva Magic Write,-,Copywriting,"Magic Write turns Canva's popular design suite into a versatile marketing tool, letting you create quick content for any project. Visually enhance your documents and support long and short form content! Great for team communication!",Freemium,https://www.canva.com/magic-write/
Osher,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Osher.png,Chat,"Train your custom Business AI by entering a website's domain for scanning, selecting your URLs, and get a knowledge-rich AI for your team, customer support, and business operations. Use your business data to grow!",Paid,https://osher.ai/
Cuppa,-,Copywriting,"Generate SEO-optimized long-form content without the hefty price tag. Simply plug in, create limitless content, choose from affordable plans, and enjoy personalized support at your fingertips.",Paid,https://www.cuppa.sh/
Sembly AI,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Sembly%20AI.png,Productivity,"A web service for recording, transcription, and generation of smart meeting summaries and meeting minutes for meetings.",Freemium,https://www.sembly.ai/
Booltool,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Booltool.png,Graphic Design,"Simplify operations, foster creativity, and elevate quality with this suite of image and written content tools. Key features include precision background removal, image optimization, animated effects, and unique content tools, enhancing both your visuals and narratives.",Freemium,https://booltool.boolv.tech/
Lunacy by Icons8,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Lunacy%20by%20Icons8.png,Graphic Design,"Lunacy is a free, versatile UX/UI design app for macOS, Windows, and Linux. It offers AI tools, custom graphics, Figma imports, online/offline modes, prototyping, live webpage editing, and enhanced image manipulation features.",Freemium,https://icons8.com/lunacy
Tugan,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Tugan.png,Copywriting,"Generative marketing tool that redefines content creation, transforming URLs into sales or email copy, and offering an efficient alternative to writing from scratch.",Freemium,https://www.tugan.ai/
Social Champ AI Suite,-,Social Media,"A social media scheduling platform with ChatGPT-powered AI tools for content generation, image creation, sentiment analysis, and online reputation management.",Freemium,https://www.socialchamp.io/features/champ-ai-suite/
Parsio,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Parsio.png,Productivity,"Automate data extraction from various documents, streamlining your business while cutting costs and boosting efficiency.",Freemium,https://parsio.io/
Speak AI,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Speak%20AI.png,Text-to-Voice,"Crunch text with AI algorithms. Make smarter decisions based on the insights gleaned from data, whether you're doing qualitative research, academic research, marketing research, competitive analysis or digital marketing.",Paid,https://speakai.co/
Lyro by Tidio,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Lyro%20by%20Tidio.png,Chat,"A unique conversational AI chatbot for customer support like you've never seen it. Faster, less expensive, and better than a human customer support agent.",Paid,https://www.tidio.com/lyro/
Dante,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Dante.png,Chat,"With your unique data as its foundation, this bespoke GPT-4 chatbot can be easily integrated with your website or social accounts as well as third-party popular applications.",Freemium,https://chat.dante-ai.com/
Bertha AI,-,Copywriting,Craft messages that resonate with your customers and drive conversions. Automate the process of generating content and integrate directly with WordPress or any other content management system.,Freemium,https://bertha.ai/
FineVoice,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/FineVoice.png,Audio,"FineVoice is your AI-enabled powerhouse, bringing realism and celebrity panache to your voiceovers, podcasts, and more. This multifaceted tool transforms your audio content with a voice library and user-friendly editing, all while transcribing and recording with precision and speed",Freemium,https://www.fineshare.com/finevoice/
Artsmart AI,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Artsmart%20AI.png,Generative Art,Create visual content that's straight-up stunning without breaking a sweat by entering prompts or simply uploading a photo and watch as the AI produces artwork based on the input.,Paid,https://artsmart.ai/
Simple Phones,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Simple%20Phones.png,Productivity,"SimplePhones is an AI-powered virtual agent ready to handle all your business's telecommunication needs. You can forward or route calls to multiple numbers, send texts or emails to team members with customer requirements, and log calls and transcripts for an in-depth look into customers' behavior",Paid,https://www.simplephones.ai/
NeuralNewsletters,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/NeuralNewsletters.png,Marketing,"Create personalized, up-to-date newsletters tailored to your audience's interests, all within minutes and without writing a word - saving you time, money and enhancing subscriber engagement.",Paid,https://preorder.neuralnewsletters.com/
Pictory,-,Text-to-Voice,"A versatile video creation and editing tool that transforms articles, scripts, visuals, and voice into captivating, shareable social media content, while offering customization and high-quality output.",Paid,https://pictory.ai
Notion AI,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Notion%20AI.png,Productivity,Notion's AI writing assistant is already embedded in the world's most popular productivity app. It can write entire blog posts or brainstorm ideas. And the AI's capabilities will expand to project management and other areas of productivity and workflow later.,Freemium,https://www.notion.so/product/ai
Rephrase,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Rephrase.png,Copywriting,"Improve your writing and meet specific writing requirements by using one of seven different types of rephrasing in ProWritingAid's newest AI tool. Easily add sensory language, enhance structure and vocabulary. Make your sentences sound more fluent and native-like.",Freemium,https://prowritingaid.com/introducing-rephrase
CodiumAI,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/CodiumAI.png,Coding,"USe CodiumAI's powerful tools to keep your focus to crafting valuable, user-centric features, all while maintaining a bug-free codebase. Bid adieu to the tedious task of manually creating tests.",Freemium,https://www.codium.ai/
Steve AI,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Steve%20AI.png,Text-to-Video,"A versatile video creation wizard, effortlessly automating scripting, editing, and publishing while transforming text, voice, and photos into vibrant videos, with access to expansive media libraries and the power to convert audio files into dynamic content.",Freemium,https://www.steve.ai/
Voicify,-,Music,"AI-powered cover song sorcery, transforming your ideas into hit tunes in the style of iconic artists. Voicify makes AI music covers in the style of your favorite artists in seconds.",Paid,https://www.voicify.ai/
HypeFury,-,Social Media,"HypeFury is a Twitter growth tool that acts as a personal assistant, helping you grow and monetize your Twitter audience.",Paid,https://hypefury.com
Trinka AI,-,Productivity,Trinka is an online grammar checker and language correction AI tool for academic and technical writing. Trinka finds difficult errors unique to academic writing that other grammar checker tools don’t. From advanced English grammar errors to scientific tone and style.,Freemium,https://shareasale.com/r.cfm
Mubert,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Mubert.png,Music,"Mubert is a music app that makes it easy for content creators, artists, developers and brands to create the perfect soundtrack for their content.",Paid,https://mubert.com/
ChopShop,-,Podcasting,"Turn your long-form video podcasts into share-worthy TikTok videos, Instagram Reels, YouTube Shorts, and more.",Freemium,https://chopshopai.com/
Content At Scale,-,AI Detection,"Free AI content detector will help mitigate the risk of being punished by Google for using AI generated content. Protect yourself with this tool, which uses multiple finely-tuned AI engines, natural language processing, and semantic analysis algorithms.",Free,https://contentatscale.ai/ai-content-detector/
GPTkit,-,AI Detection,"GPTKit is a free, easy-to-use AI text generation detection tool that uses six different methods to accurately identify and classify machine-generated text. It provides reports on the authenticity and reality of the content analyzed",Freemium,https://gptkit.ai/
Ava AI,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Ava%20AI.png,Copywriting,"Ava AI is an AI-powered writing assistant that can generate various types of content in seconds, from blog posts to social media posts. It also offers templates for specific tasks and can co-create entire campaigns with you, streamlining your writing process and increasing productivity",Paid,https://www.hiava.ai/
Predis,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Predis.png,Social Media,Use the Predis AI Social Media Post Generator to create ready-to-publish content in your brand language by identifying keywords and hashtags that are relevant to your business and then automatically generating posts with the right images and content.,Paid,https://predis.ai
Postwise,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Postwise.png,Social Media,"Utilize this advanced AI Twitter tool's AI to craft, schedule and amplify your content and presence on Twitter. Reach a wider audience and go viral.",Paid,https://postwise.ai
Process AI,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Process%20AI.png,Productivity,The world's first Process Management Platform powered by AI.Process Street is now excited to announce the next evolution of its product from a workflow management tool to an AI-powered process platform.,Paid,https://www.process.st/platform/ai/
Brain FM,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Brain%20FM.png,Productivity,"Brain.fm provides scientifically proven, patented AI-generated music for focus, relaxation, and sleep. The tailored music stimulates the brain while blending into the background allowing you to manage your energy levels and get more done.",Paid,https://www.brain.fm
Bardeen,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Bardeen.png,Automation,"Bardeen is an AI assistant that can automate tedious tasks for you, such as transcribing audio, creating action items from meeting notes, and summarizing long articles.",Paid,https://www.bardeen.ai/ai
Hexometer,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Hexometer.png,Automation,"Hexometer's sophisticated AI platform monitors your website 24/7 to catch availability, performance, UX, SEO, and server health problems before they lead to a loss in traffic and lost revenue.",Paid,https://hexometer.com/pricing_promo/
Hexowatch,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Hexowatch.png,Automation,Stay up-to-date on important changes to your website or your competitor's websites. Create a business around monitoring and watching your competitor's next move.,Paid,https://hexowatch.com/pricing_promo/
Marketing Megaprompts,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Marketing%20Megaprompts.png,Marketing,"A bespoke set of unique prompts from MakerBox designed to fuel innovative marketing strategies, meticulously curated for solopreneurs and indie hackers seeking top-tier quality and personalized solutions.",Paid,https://makerbox.lemonsqueezy.com/
Landr,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Landr.png,Music,"Landr offers cloud-based AI mastering software that analyzes tracks using AI algorithms to make adjustments to the mix, including EQ, compression, and stereo widening. It also offers an API for partners to integrate AI-powered mastering into their apps and platforms.",Paid,https://join.landr.com/referral/landr-studio/
Yaara,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Yaara.png,Copywriting,"Writing assistant for SEO-driven content, including website copy, headlines, product bullet points, meta descriptions, about us copy, and FAQs. Generate presentations and social media content without calling for a copywriter.",Paid,https://www.yaara.ai/
Referral Factory,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Referral%20Factory.png,Marketing,"Referral Factory is an AI-powered tool that offers you a quick setup of custom or pre-built affiliate marketing programs. It integrates with major CRMs, provides easy referral tracking, and automates rewarding successful referrals.",Paid,https://get.referral-factory.com/bAjdMa/join
Logo AI,-,Graphic Design,"LogoAi is an AI powered logo maker and brand automation platform that can help small businesses create professional logos, design matching identities, and automate brand promotion with on-brand social media content.",Paid,https://www.logoai.com/
Winston ai,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Winston%20ai.png,AI Detection,Discover if it's a person or an AI that wrote your content with Winston AI. Detect plagiarism and make sure copy is written by humans,Freemium,https://gowinston.ai/
AI Lawyer,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/AI%20Lawyer.png,Productivity,"A multilingual, affordable legal assistant providing instant help, document drafting, and contract review.",Paid,https://ailawyer.pro/
Scribe,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Scribe.png,Productivity,"Capture processes and generate shareable step-by-step guides with Scribe, revolutionizing documentation and streamlining business operations.",Freemium,https://get.scribehow.com/lp-1/
Netus AI,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Netus%20AI.png,Copywriting,"Fine-tune paraphrasing with your own voice while bypassing plagiarism & AI detection. Integrate cutting-edge technology for efficient, high-quality content generation. Upcoming features: plagiarism checker & multilingual support.",Freemium,https://netus.ai/
TalkPal,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/TalkPal.png,Education,"Immerse yourself in lifelike conversations, receive real-time feedback, and enjoy dynamic active listening exercises, powered by an AI language tutor",Freemium,https://talkpal.ai/
Skybox Lab,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Skybox%20Lab.png,Generative Art,Skybox Lab is an AI-powered tool that allows you to generate stunning 360° skybox experiences just by entering text prompts. It's perfect for those looking to quickly create immersive virtual spaces,Free,https://www.blockadelabs.com/
Adcreative.ai,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Adcreative.ai.png,Advertising,"An ad creation platform that uses artificial intelligence to make high-quality, conversion-focused ad creatives and social media post creatives in a matter of seconds.",Paid,https://www.adcreative.ai/
Clickable,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Clickable.png,Advertising,"Create ads that are beautiful, consistent with your brand identity, and highly effective at generating conversions. Clickable lets you easily create highly engaging ads that will generate more sales.",Paid,https://www.clickable.so/
Ghost Writer,-,Copywriting,Hire dead authors to write in a variety of styles - generate stories or content from scratch or rephrase your work quickly and make it remarkable.,Freemium,https://www.ghostthewriter.com/
InsightBaseAI,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/InsightBaseAI.png,Business Intelligence,"Chat effortlessly with your data using InsightBase, an AI tool that turns complex analytics into casual conversations. Uncover valuable insights",Paid,https://insightbase.ai/
Bannerbear,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Bannerbear.png,Social Media,BannerBear offers an automated solution for generating social media visuals with no coding required. The Open AI Whisper integration lets you autotranscribe voice and create videos with the text instantly.,Paid,https://www.bannerbear.com/
Kreatable,-,Marketing,"Create logos, social media posts, and web ads using features like magic resize, AI writing, image background removal, and brand management. Preview and edit text across platforms in one location.",Paid,https://shareasale.com/r.cfm
SEOPress,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/SEOPress.png,SEO,"SEOPress PRO is a WordPress SEO plugin that integrates with OpenAI to generate automated metadata. Get help creating titles and meta descriptions with AI-driven insights, and save time and money with the bulk actions feature",Paid,https://www.seopress.org/features/openai/ref/621/
Deep AI,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Deep%20AI.png,Generative Art,"if you ever wanted to see what your words would look like as a piece of art, this is the tool for you",Free,https://deepai.org/machine-learning-model/text2img
Deciphr,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Deciphr.png,Podcasting,Deciphr is a free AI-powered tool that timestamps and summarizes podcast transcripts in less than 60 seconds. It uses end-to-end encryption to transform transcripts into show notes and timestamps.,Free,https://www.deciphr.ai/
TweetMonk,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/TweetMonk.png,Social Media,"Write better tweets, grow your audience, and improve your Twitter presence. Tweetmonk's easy-to-use editor, AI-powered writing tools, powerful analytics, and daily inspiration prompts destroy writer's block",Freemium,https://tweetmonk.com/
Midjourney Prompt Generator,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Midjourney%20Prompt%20Generator.png,Generative Art,"Press ""Generate Styles"" and the Midjourney Random Prompt Generator will create 10 different versions of what you want, with totally different styles, colors, medium, technique, and much more!",Free,https://www.howtoleverageai.com/midjourney-prompt-generator
AIPRM,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/AIPRM.png,SEO,AIPRM comes with curated prompts to help SEO professionals optimize their websites and boost rankings on search engines.,Free,https://www.aiprm.com/
Maker AI,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Maker%20AI.png,Copywriting,AICreate is a writing and composition tool that allows users to create high quality sales emails in seconds. It uses cutting-edge artificial intelligence to help users write faster and better.,Paid,https://maker.ai/
Compose AI,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Compose%20AI.png,Copywriting,Compose AI is a free Chrome extension that uses AI-powered autocompletion and text generation to help users save time and automate their writing,Free,https://www.compose.ai/
Runway ML,https://raw.githubusercontent.com/rafliogun49/database_logo/main/resized_images/Runway%20ML.png,Generative Video,Gen-1 is a new video generation technique that uses composition and style to create compelling footage out of existing videos. Generate new videos that mimic the structure of your original video,Freemium,https://research.runwayml.com/gen1
PromptLayer,-,Copywriting,"Track, debug, and replay old completions of the ever-important AI prompts (maintain a log of their prompts and OpenAI API requests - prompt engineering is the future so this will be a huge timesaver)",Free,https://promptlayer.com/